molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1731834,Cc1ccc(S(=O)(=O)N2[C@H](c3ccc(C(C)C)cc3)CC=C(C(=O)O)[C@@H]2c2ccc(Br)cc2)cc1,Inactive,554.506,6.76892000000001,1,3,4.48306819113199
CHEMBL3197141,Cc1cc(C(=O)N/N=C/c2ccc(O)c(O)c2O)c(C)n1-c1ccccc1,Inactive,365.389,2.97484,4,6,4.37726803483528
CHEMBL1554169,O=C(O)/C=C/C(=O)c1ccc2c(c1)CCc1ccccc1-2,Inactive,278.307,3.2757,1,2,4.64092377394074
CHEMBL1731730,Oc1c(Cl)cccc1Cc1cc(Cl)cc(Cl)c1O,Inactive,303.572,4.6488,2,2,4.34237056861105
CHEMBL3198550,N#C/C(=C\c1cccc(Cl)c1)C(=O)c1ccccc1,Inactive,267.715,4.12988,0,2,4.1934130656722
CHEMBL1579924,COc1cccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)c1OC,Inactive,436.536,2.7985,1,7,4.38605252321965
CHEMBL1592785,O=C(O)[C@H](Cc1ccccc1)N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,Inactive,433.074,4.5921,1,3,4.62196567754267
CHEMBL1879517,O=C(O)CN1C(=O)/C(=C\c2ccccc2OCc2ccccc2)SC1=S,Inactive,385.466,3.5514,1,5,4.44660248987612
CHEMBL1430882,O=[N+]([O-])c1cc([N+](=O)[O-])c2c(Nc3ccccc3)n(-c3ccccc3)[n+]([O-])c2c1,Inactive,391.343,3.8239,1,7,4.5099009949367
CHEMBL1985591,CC(=O)Oc1oc(-c2ccccc2)nc1/C=N/c1ccccc1,Inactive,306.321,4.0175,0,5,4.06373765809652
CHEMBL1423709,Cn1cccc1/C=C1/C(=O)NC(=S)N(Cc2ccc(F)cc2)C1=O,Inactive,343.383,1.9911,1,4,4
CHEMBL1391547,O=C(O)c1ccc2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1ccccn1)N2,Inactive,292.338,3.6063,2,3,4.58037463911226
CHEMBL1532198,O=C(O)CN1C(=O)/C(=C\c2cc([N+](=O)[O-])ccc2OCc2ccccc2Cl)SC1=S,Inactive,464.908,4.113,1,7,4.5070999888913
CHEMBL1462687,O=C(Nc1cccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)c1)c1ccc(-c2ccccc2)cc1,Inactive,453.45,5.7946,3,4,4.6888821573375
CHEMBL1335165,CSC(SC)=C(C#N)C(=O)c1ccccc1,Inactive,249.36,3.33048,0,4,4.07242434530889
CHEMBL1732365,CC1=C(SCc2ccccc2)C(=O)c2ccccc2C1=O,Inactive,294.375,4.273,0,3,4.11492161585078
CHEMBL1587159,Cc1c(CCC(=O)O)c(=O)oc2c(C)c3occ(-c4ccc(Cl)cc4)c3cc12,Inactive,396.826,5.49364,1,4,4.37489342459653
CHEMBL1344289,COCCNC(=O)c1c(NC(=O)c2ccco2)n(Cc2ccccc2)c2nc3ccccc3nc12,Inactive,469.501,3.8543,2,7,4
CHEMBL1327721,O=[N+]([O-])c1c(NCCCO)cc(Sc2nc3ccccc3s2)c2nonc12,Inactive,403.445,3.6862,2,10,4.63732907027433
CHEMBL1311708,O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(Cl)cc3)c2)SC1=S,Inactive,419.911,4.2048,1,5,4.40384291908383
CHEMBL1462906,N#Cc1c(O)nc(SCc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,Inactive,387.386,5.03198,1,5,4.3692671071828
CHEMBL1431126,Oc1nc2ccccc2n2c(-c3ccccc3)nnc12,Intermediate,262.272,2.6501,1,5,5.08301995267962
CHEMBL1163377,CN1CCN(C2=C(Cl)C(=O)c3ccccc3C2=O)CC1,Intermediate,290.75,1.7634,0,4,5.19859628998265
CHEMBL1559165,CSc1sccc1/C=C(/C#N)C(=O)c1ccco1,Inactive,275.354,3.85288,0,5,4
CHEMBL1462814,Nc1ncc(N=Nc2cc(C(=O)O)ccc2Cl)s1,Inactive,282.712,3.4923,2,6,4.13324021650489
CHEMBL1407205,O=C(Nc1sc2c(c1C(=O)O)CCCC2)c1cccc(Cl)c1,Inactive,335.812,4.2308,2,3,4.14375459920995
CHEMBL1548688,CCO.N#Cc1c(SC(C(=O)O)c2ccccc2)nc2c(c1-c1cccs1)CCCC2,Inactive,406.532,5.47858,1,5,4.40649241066824
CHEMBL1470135,Cc1oc2c(c1C(=O)c1ccccc1)C(=O)C(=O)c1ccccc1-2,Inactive,316.312,3.86502,0,4,4.31488553095346
CHEMBL1304402,CN1CCN(C(c2ccccn2)c2cc(Cl)c3cccnc3c2O)CC1,Inactive,368.868,3.3256,1,5,4
CHEMBL1431075,CC(C)c1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)s1,Inactive,455.924,3.4702,1,8,4.0178192544036
CHEMBL1304374,COc1cc(Cl)cc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)c1O,Inactive,490.899,5.5934,5,4,4.77134304189107
CHEMBL1311811,C#CCOc1c(Cl)cc(/C=C2/C(=O)ON=C2C)cc1OCC,Inactive,319.744,3.0668,0,5,4
CHEMBL1470182,COc1cc(/C=C2\SC(NS(=O)(=O)Cc3ccccc3)=NC2=O)c([N+](=O)[O-])cc1OC,Inactive,463.493,2.7019,1,8,4.25352149006997
CHEMBL3144932,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1cccc([N+](=O)[O-])c1O)c1c(C)[nH]n(-c2ccccc2)c1=O,Inactive,497.511,4.05544,3,7,4.50086300546262
CHEMBL1334390,COC(=O)CCC(=O)OC1(C)C(=O)C2=CN(CC3CC3)C(c3ccc(OC)cc3)=CC2=C(Br)C1=O,Inactive,544.398,3.7015,0,8,4.51498878542143
CHEMBL1431018,CC1=NN(c2ccc(Br)cc2)C(=O)/C1=C/c1ccc(-c2ccccc2C(=O)O)o1,Inactive,451.276,5.2134,1,4,4.52360317327467
CHEMBL1364062,CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1cc(C(=O)CCCC)c(OC)cc1O2,Inactive,456.491,5.5295,2,7,4.40938105179342
CHEMBL1391737,O=C(NCc1ccccc1)c1sc(=S)n2c1[nH]c(=O)c1ccccc12,Inactive,367.455,3.50179,2,5,4.11350927482752
CHEMBL1430983,COc1cc(/C=C2\SC(=O)N(Cc3ccc(Cl)cc3)C2=O)cc([N+](=O)[O-])c1O,Inactive,420.83,4.1989,1,7,4.17095366314682
CHEMBL461622,Nc1scc2c(C(=O)O)nn(-c3ccccc3)c(=O)c12,Inactive,287.3,1.7276,2,6,4.34688400683443
CHEMBL1587422,Cc1ccc(C)c(-n2c3nc(=O)[nH]c(=O)c-3cc3cc([N+](=O)[O-])ccc32)c1,Inactive,362.345,2.70384,1,6,4.82623117686335
CHEMBL1344491,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,Inactive,451.961,3.46862,1,8,4
CHEMBL1509648,Cc1ccc(/C=C/C(=O)Nc2ccc([N+](=O)[O-])c(NC(=O)/C=C/c3ccc(C)o3)c2)o1,Inactive,421.409,4.70144,2,6,4
CHEMBL1509676,COC(=O)c1ccc(N2NC(=O)/C(=C/c3ccc(-c4ccc(Cl)c(C(=O)O)c4)o3)C2=O)cc1,Inactive,466.833,3.5462,2,6,4.92335955632966
CHEMBL1541379,CSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)s1,Inactive,441.947,2.9296,1,9,4.2955063029907
CHEMBL1509704,CSc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,Inactive,456.523,5.9477,4,3,4.31193630305366
CHEMBL1402473,Cc1nc(COC(=O)c2cc(O)c3ccccc3c2O)cs1,Inactive,315.35,3.37292,2,6,4.36602684421033
CHEMBL3145223,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc(O)c([N+](=O)[O-])c1)c1c(C)[nH]n(-c2ccccc2)c1=O,Inactive,497.511,4.05544,3,7,4.54272381393867
CHEMBL1402497,CCCCCCSc1nc(O)c(C2OC(=O)c3c2ccc(OC)c3OC)c(=O)n1CC,Inactive,448.541,3.9182,1,9,4.24458253718906
CHEMBL1532323,O=C(CCN1C(=O)/C(=C\c2ccccc2F)SC1=S)Nc1ccc(C(=O)O)c(O)c1,Inactive,446.481,3.4595,3,6,4.488517711374
CHEMBL1492926,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)cc2)o1,Inactive,450.834,4.8025,2,5,4.71130373940974
CHEMBL3194554,C=CCOC(=O)C1=C(C)N=c2s/c(=C3\C(=O)N(CC(=O)O)c4ccccc43)c(=O)n2C1c1ccc(OC)cc1.CC(=O)O,Inactive,545.573,1.7744,1,9,4.22643295107394
CHEMBL1880447,CC1=NN(c2ccccc2)C(=O)C1=Cc1ccccc1,Inactive,262.312,3.4927,0,2,4.22599426974179
CHEMBL1732567,O=C(O)C1=CC[C@@H](c2ccc(Cl)cc2)N(S(=O)(=O)c2ccc(Cl)cc2)[C@H]1c1ccc(Br)cc1,Inactive,567.288,6.6439,1,3,4.43770713554353
CHEMBL1440703,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,Inactive,293.235,1.0318,1,8,4.41975949173462
CHEMBL1458660,Cc1ccc(S(=O)(=O)Nc2ccccc2-c2ccccc2NS(=O)(=O)c2ccc(C)cc2)cc1,Inactive,492.622,5.57204,2,4,4.26129869956529
CHEMBL1431163,CN(C)S(=O)(=O)c1cccc(-c2nn(-c3ccccc3)cc2/C=C2\SC(=S)N(CC(=O)O)C2=O)c1,Inactive,528.637,3.0754,1,8,4.09941441335004
CHEMBL1351902,Cc1c(N)cc(N)cc1C(=O)O,Inactive,166.18,0.85762,3,3,4
CHEMBL1470408,O=C(O)CC/C(=C\c1ccc(N2CCCC2)c([N+](=O)[O-])c1)c1nc2ccccc2s1,Inactive,423.494,5.2101,1,6,4.36562350591163
CHEMBL1502247,Cc1cccc(C2C3=C(O)c4ccccc4C3=Nc3nn(-c4ccccc4)c(O)c32)c1,Inactive,405.457,5.43532,2,5,4.22621355501881
CHEMBL1541247,CCCCCCCCn1c(=O)c(C(=O)OCC)c(O)c2ccccc21,Inactive,345.439,4.2443,1,5,4.11255149975005
CHEMBL1304529,O=C(O)c1[nH]c2ccccc2c1C(c1ccccc1)c1c(C(=O)O)[nH]c2ccccc12,Inactive,410.429,5.2258,4,2,4.77728352885242
CHEMBL3195827,COc1ccccc1NC1=C(NC(C)=O)C(=O)c2ccccc2C1=O,Inactive,336.347,2.534,2,5,4
CHEMBL1327816,O=C1C(=O)c2c(C(=O)c3ccccc3)coc2-c2ccccc21,Inactive,302.285,3.5566,0,4,4.08465293767581
CHEMBL1564253,O=c1oc2c3c4c(cc2s1)CCCN4CCC3,Inactive,247.319,2.5533,0,4,4.06188073080569
CHEMBL1424064,CC(C)(C)C1CCc2c(sc(NC(=O)C3CC=CCC3C(=O)O)c2C#N)C1,Inactive,386.517,4.37628,2,4,4.40406309373083
CHEMBL1571258,O=C1NC(=O)C(=Cc2ccc(Sc3ccccc3)o2)C(=O)N1,Inactive,314.322,2.1802,2,5,4
